Date,Close/Last,Volume,Open,High,Low
02/01/2022,382.21,N/A,383.6,386.11,380.71
01/31/2022,382.7,N/A,369.4,385,374.01
01/30/2022,369.6,N/A,384.01,377.5,365.59
01/29/2022,383.5,N/A,388.4,389.49,382.1
01/28/2022,388.52,N/A,393.51,389.4,384.61
01/27/2022,391.51,N/A,364.6,395.13,382.68
01/26/2022,364.9,N/A,382.89,378.39,360.1
01/25/2022,372,N/A,341.01,375.81,357.79
01/24/2022,360.41,N/A,368.49,371.59,360.1
01/23/2022,368.22,N/A,370.4,384.1,368.21
01/22/2022,370.2,N/A,380.79,371.6,356.6
01/21/2022,382.49,N/A,424.82,388.99,380.2
01/20/2022,425.3,N/A,470.78,444.31,419.39
01/19/2022,470.59,N/A,463.7,470.69,462.01
01/18/2022,463.79,N/A,470.42,472.4,461.51
01/17/2022,470.5,N/A,483.7,479.31,469.82
01/16/2022,486.19,N/A,491.51,498.98,482.48
01/15/2022,491.6,N/A,487.51,495.8,488.9
01/14/2022,487.21,N/A,483.79,492.13,485.3
01/13/2022,484.69,N/A,479.69,484.69,472.71
01/12/2022,479.4,N/A,458.8,488.9,476.89
01/11/2022,458.41,N/A,432.6,465.69,456.71
01/10/2022,431.5,N/A,444.72,434.2,421.5
01/09/2022,441.68,N/A,429.9,444.4,427.31
01/08/2022,435.5,N/A,453.7,435.9,427.31
01/07/2022,454.2,N/A,449.3,454.51,446.9
01/06/2022,447.61,N/A,466.51,473.7,440.06
01/05/2022,465.31,N/A,512.11,475.79,462
01/04/2022,512.12,N/A,507.61,513.31,505.91
01/03/2022,507.5,N/A,523.22,512.62,502.4
01/02/2022,523.62,N/A,519.71,531,523.12
01/01/2022,520.29,N/A,514.91,527.62,520.29
12/31/2021,516.2,N/A,515.32,519.8,511.61
12/30/2021,515.3,N/A,515.81,520.59,507.34
12/29/2021,516.71,N/A,536.71,518.02,508.81
12/28/2021,537.11,N/A,546.49,540.4,533.39
12/27/2021,546.99,N/A,548.38,563.6,542.79
